epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6480714702606201,0.7325865940109488,0.8230000000000001,0.4700000000000001
2,0.6051955890655517,0.7632897685779759,0.81525,0.42000000000000004
3,0.5628668653964997,0.7985444838961497,0.85445,0.43000000000000005
4,0.5453546357154846,0.794979497949795,0.868475,0.4800000000000001
5,0.530702486038208,0.7924364336578078,0.870825,0.4800000000000001
6,0.5180013489723205,0.805,0.87935,0.4600000000000001
7,0.5081143188476562,0.8074891712658837,0.879775,0.43000000000000005
8,0.495215882062912,0.7999199679871949,0.877275,0.38000000000000006
9,0.5001979184150696,0.7999799979998,0.8711500000000001,0.32000000000000006
10,0.5029993402957916,0.8149583656322672,0.881725,0.42000000000000004
11,0.4911210381984711,0.8099239695878351,0.8815,0.49000000000000005
12,0.48959486961364745,0.8122359568142701,0.884225,0.6400000000000001
13,0.4827750051021576,0.7974987343670898,0.87905,0.5000000000000001
14,0.46326040029525756,0.8147730970438787,0.89085,0.5700000000000002
15,0.4831852638721466,0.8098288459613652,0.8862749999999999,0.5300000000000001
16,0.4697385394573212,0.804824341907717,0.885125,0.5500000000000002
17,0.47663057446479795,0.8072964568825822,0.888375,0.5800000000000002
18,0.46939733386039734,0.7993931643220743,0.8818500000000001,0.6000000000000002
19,0.4669310700893402,0.7973467434747528,0.881075,0.5600000000000002
20,0.46206396222114565,0.8094235061059706,0.889025,0.6000000000000002
21,0.4620846796035767,0.805652483925315,0.88385,0.32000000000000006
22,0.4608202350139618,0.8023505275864873,0.8837,0.5500000000000002
