epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6869309598749335,0.8897243107769424,0.9636,0.5100000000000001
2,0.6446530006148599,0.9399759903961584,0.9740000000000001,0.5400000000000001
3,0.5867705832828175,0.9499949994999499,0.9756,0.5600000000000002
4,0.4960656355727803,0.96,0.9752,0.6000000000000002
5,0.4087485941973599,0.9499949994999499,0.9688000000000001,0.6600000000000001
6,0.33677826686338946,0.96,0.9603999999999999,0.6000000000000002
7,0.296770842237906,0.96999699969997,0.9659999999999999,0.6300000000000001
8,0.2951725883917375,0.96999699969997,0.9736,0.7500000000000002
9,0.24796687743880533,0.96999699969997,0.9732,0.6900000000000002
10,0.2484253550117666,0.96999699969997,0.974,0.7000000000000002
11,0.2327021834525195,0.96999699969997,0.9767999999999999,0.7400000000000002
12,0.21332590281963348,0.96999699969997,0.9776,0.8000000000000002
13,0.221158158372749,0.96999699969997,0.9772000000000001,0.8100000000000002
14,0.2267381657253612,0.96999699969997,0.9783999999999999,0.8000000000000002
15,0.2559815320101651,0.96999699969997,0.9788000000000001,0.8400000000000002
16,0.19269001890312543,0.96999699969997,0.9784,0.8500000000000002
17,0.2039996778423136,0.96999699969997,0.978,0.8300000000000002
18,0.20613878829912705,0.96999699969997,0.9772000000000001,0.7500000000000002
19,0.20664643496274948,0.96999699969997,0.9796,0.8200000000000002
