experiment,bucket,n,macro_f1,roc_auc
E_full_lw,"(-0.001, 0.828]",50,0.9047619047619048,0.9540441176470588
E_full_lw,"(0.828, 0.975]",52,1.0,1.0
E_full_lw,"(0.975, 1.0]",98,0.9263553408480945,0.961061189559264
