epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6836717399683866,0.8599439775910365,0.8784,0.5200000000000001
2,0.6426728855479847,0.8886526976414617,0.8832,0.5400000000000001
3,0.5884962515397505,0.8993558776167472,0.8904,0.5500000000000002
4,0.5081016475504095,0.8894583458948849,0.9128000000000001,0.6200000000000001
5,0.46122304417870263,0.8999599839935974,0.9276,0.7200000000000002
6,0.42993571812456305,0.8899009108197378,0.9316,0.6200000000000001
7,0.4148681651462208,0.9099189270343309,0.9484,0.6900000000000002
8,0.3637307421727614,0.9,0.9472,0.7300000000000002
9,0.3819852119142359,0.8999599839935974,0.9471999999999999,0.6600000000000001
10,0.3495784781195901,0.88,0.9336,0.4800000000000001
11,0.38256760754368524,0.9199679871948779,0.9583999999999999,0.7000000000000002
12,0.37784197655591095,0.9299929992999301,0.9652000000000001,0.7300000000000002
13,0.32675828446041455,0.9198717948717949,0.9624,0.4600000000000001
14,0.3530667559667067,0.90999099909991,0.9643999999999999,0.7100000000000002
15,0.32874208417805756,0.92,0.9667999999999999,0.7800000000000001
16,0.29267342388629913,0.9099189270343309,0.9616,0.5800000000000002
17,0.2713387594981627,0.9099189270343309,0.9663999999999999,0.6200000000000001
18,0.3092591166496277,0.9099189270343309,0.9703999999999999,0.6600000000000001
19,0.2963349534706636,0.8999599839935974,0.9692,0.6300000000000001
20,0.2515482157468796,0.9198717948717949,0.9715999999999999,0.8500000000000002
21,0.2488230439749631,0.9097744360902256,0.9688,0.6000000000000002
22,0.30950759622183716,0.9198717948717949,0.9708,0.8500000000000002
23,0.2823546528816223,0.9198717948717949,0.9708,0.8500000000000002
24,0.28590202602473175,0.9198717948717949,0.9707999999999999,0.8500000000000002
