epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6140457010269165,0.9074994218713867,0.957175,0.4600000000000001
2,0.4466986262798309,0.9174871073605251,0.965525,0.34
3,0.32795290350914,0.9174871073605251,0.9642999999999999,0.45000000000000007
4,0.2729372411966324,0.9174953591139501,0.962075,0.42000000000000004
5,0.24146126329898834,0.9149808706959066,0.9616,0.23000000000000004
6,0.2107472425699234,0.9174871073605251,0.9611375,0.17000000000000004
7,0.20405875980854035,0.912473194915943,0.960775,0.6300000000000001
8,0.19695507287979125,0.9124863259884357,0.958125,0.30000000000000004
9,0.19840310275554657,0.9124863259884357,0.959,0.24000000000000005
10,0.19606079995632172,0.9124863259884357,0.955775,0.27
11,0.19172021359205246,0.9124863259884357,0.957175,0.4100000000000001
12,0.19294524520635606,0.9124863259884357,0.9553499999999999,0.39000000000000007
13,0.18058579444885253,0.9124863259884357,0.9584,0.38000000000000006
14,0.20064087748527526,0.9124863259884357,0.957925,0.32000000000000006
15,0.1799352151155472,0.9124863259884357,0.9579249999999999,0.39000000000000007
16,0.16707896173000336,0.9124863259884357,0.957675,0.29000000000000004
17,0.17490933537483216,0.9124863259884357,0.9576749999999998,0.28
18,0.16887641459703445,0.9124863259884357,0.95795,0.31000000000000005
