experiment,streams,fusion,params,best_val_f1,test_accuracy,test_macro_f1,test_binary_f1,test_roc_auc,test_threshold,test_macro_f1_thr050,test_accuracy_thr050,test_cal_macro_f1,test_cal_accuracy,test_cal_roc_auc,test_cal_threshold,test_cal_temp
A_skeleton_only,"('skeleton',)",qgf,71715,0.7746,0.775,0.7746394230769231,0.7836538461538461,0.8143750000000001,0.5800000000000002,0.7505904581955598,0.7525,0.7746394230769231,0.775,0.8143750000000001,0.5700000000000002,1.1417785748700902
B_skel_interaction,"('skeleton', 'interaction')",qgf,477522,0.815,0.815,0.8149583656322672,0.8121827411167513,0.881725,0.42000000000000004,0.7811857468922717,0.7825,0.8149583656322672,0.815,0.881725,0.4000000000000001,0.7442224911357063
C_videomae_only,"('vit',)",none,86000000,see_phase2_log,0.9075,0.9074994218713867,,0.970925,0.38,,,,,,,
D_skel_int_obj,"('skeleton', 'interaction', 'object')",qgf,568023,0.8337,0.835,0.8336525859461639,0.8486238532110092,0.90565,0.4000000000000001,0.8024394970959856,0.8025,0.836246260431428,0.8375,0.90565,0.37000000000000005,0.7530798909871136
E_full_qgf,"('skeleton', 'interaction', 'object', 'vit')",qgf,798618,0.9175,0.9175,0.9174871073605251,0.9185185185185185,0.9611375,0.17000000000000004,0.9049405878674172,0.905,0.9199819959490885,0.92,0.9611375,0.17000000000000004,1.010506533206967
E_full_lw,"('skeleton', 'interaction', 'object', 'vit')",lw,798322,0.915,0.915,0.9149659863945578,0.9166666666666666,0.96395,0.12000000000000001,0.902470131477765,0.9025,0.9149808706959066,0.915,0.96395,0.18000000000000005,1.3043589605638886
E_full_qgf_fixed,"('skeleton', 'interaction', 'object', 'vit')",qgf,798618,0.9175,0.915,0.9149978749468737,0.9154228855721394,0.9619500000000001,0.25000000000000006,0.9074299939329118,0.9075,0.9174953591139501,0.9175,0.9619500000000001,0.22000000000000003,0.8825179071263868
