epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.4990522515773773,0.9149914991499151,0.9571000000000001,0.4600000000000001
2,0.3192449170351028,0.9174871073605251,0.9658249999999999,0.32000000000000006
3,0.19949380397796632,0.9174871073605251,0.9653499999999999,0.45000000000000007
4,0.14337691456079482,0.9174953591139501,0.9641249999999999,0.43000000000000005
5,0.1135079738497734,0.9174871073605251,0.9625999999999999,0.35000000000000003
6,0.08052336275577546,0.9149914991499151,0.96125,0.28
7,0.07253479301929473,0.912499453121582,0.96065,0.29000000000000004
8,0.06378941416740418,0.9124950778481289,0.958975,0.26000000000000006
9,0.06256316423416138,0.9149914991499151,0.9603499999999999,0.24000000000000005
10,0.06119876056909561,0.9124863259884357,0.9554,0.24000000000000005
11,0.05614246666431427,0.9124863259884357,0.95685,0.42000000000000004
12,0.055790137052536014,0.9124863259884357,0.95585,0.38000000000000006
13,0.040717727839946746,0.9124863259884357,0.959,0.39000000000000007
14,0.06494641363620758,0.9124863259884357,0.958925,0.30000000000000004
15,0.042561613619327546,0.9124863259884357,0.9588,0.35000000000000003
16,0.02641221821308136,0.9124863259884357,0.9570749999999999,0.25000000000000006
17,0.0346977823972702,0.9124863259884357,0.9574,0.27
