experiment,streams,fusion,params,best_val_f1,test_accuracy,test_macro_f1,test_binary_f1,test_roc_auc,test_threshold,test_macro_f1_thr050,test_accuracy_thr050,test_cal_macro_f1,test_cal_accuracy,test_cal_roc_auc,test_cal_threshold,test_cal_temp
A_skeleton_only,"('skeleton',)",qgf,71715,0.7272,0.6898550724637681,0.6376050420168067,0.7752100840336135,0.6396024968611143,0.34,0.6137113256035128,0.6391304347826087,0.638531211750306,0.6898550724637681,0.6396024968611143,0.38000000000000006,1.3314700455613775
B_skel_interaction,"('skeleton', 'interaction')",qgf,477522,0.7218,0.6739130434782609,0.6480637271014733,0.7434435575826682,0.6673671650296971,0.5100000000000001,0.6512848423589783,0.6797101449275362,0.6480637271014733,0.6739130434782609,0.6673671650296971,0.5100000000000001,0.9525442655979407
D_skel_int_obj,"('skeleton', 'interaction', 'object')",qgf,568023,0.7326,0.6768115942028986,0.6319066836674888,0.7604726100966702,0.6620243809048895,0.45000000000000007,0.6247769019112069,0.6608695652173913,0.6319066836674888,0.6768115942028986,0.6620243809048895,0.44000000000000006,0.8517499841702297
E_full_qgf,"('skeleton', 'interaction', 'object', 'vit')",qgf,798618,0.9176,0.7144927536231884,0.6725296380793608,0.7897545357524013,0.724080818514528,0.22000000000000003,0.6810182759577157,0.717391304347826,0.6725296380793608,0.7144927536231884,0.724080818514528,0.21000000000000002,0.9938057860607692
E_full_lw,"('skeleton', 'interaction', 'object', 'vit')",lw,798322,0.9207,0.7130434782608696,0.6696808510638298,0.7893617021276595,0.7035645274752674,0.12000000000000001,0.675440802526057,0.7072463768115942,0.6655323851903557,0.7101449275362319,0.7035645274752674,0.12000000000000001,1.065923051263477
E_full_qgf_fixed,"('skeleton', 'interaction', 'object', 'vit')",qgf,798618,0.9204,0.7159420289855073,0.6745784245784245,0.7905982905982906,0.7112848505356142,0.05,0.6875490948072711,0.7159420289855073,0.6725296380793608,0.7144927536231884,0.7112848505356142,0.09000000000000001,1.312856953090369
E_full_cgf,"('skeleton', 'interaction', 'object', 'vit')",cgf,802834,0.9176,0.717391304347826,0.6742911505474475,0.7927736450584485,0.7106080978798053,0.14,0.6815919924643914,0.7188405797101449,0.6742911505474475,0.717391304347826,0.7106080978798053,0.2,1.2781215577748153
E_full_qgf_adv,"('skeleton', 'interaction', 'object', 'vit')",qgf_adv,798623,0.9204,0.7159420289855073,0.6730174081237912,0.7914893617021277,0.7025226845709299,0.13,0.6798415341603643,0.7144927536231884,0.6725296380793608,0.7144927536231884,0.7025226845709299,0.21000000000000002,1.1716891062524928
