epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.46954360447431864,0.8357193538962394,0.8810789571005918,0.32000000000000006
2,0.2808256690439425,0.8429483146067416,0.878595496383958,0.29000000000000004
3,0.18616165906975143,0.8429341963322545,0.8808452498356344,0.23000000000000004
4,0.15071123132580205,0.8429228998849252,0.8742244000657462,0.14
5,0.12911949443973994,0.8413396342716253,0.8783258341551612,0.17000000000000004
6,0.12844227842594447,0.8405275679285447,0.8752991966633793,0.12000000000000001
7,0.10050808834402185,0.8413445240027532,0.8737107577251807,0.08000000000000002
8,0.09236755241688929,0.8389372405623277,0.8773319362261669,0.08000000000000002
9,0.10591958972968553,0.8404906950978661,0.8814744617028271,0.07
10,0.10738467640782658,0.8397398855064759,0.8802738227317555,0.15000000000000002
11,0.10310815921739529,0.8405398550840956,0.8834237343852727,0.18000000000000005
12,0.07934991799687084,0.8397332997732123,0.88075022600263,0.12000000000000001
13,0.10486279702500294,0.8389372405623277,0.8811906743096647,0.22000000000000003
14,0.0813613179090776,0.8397332997732123,0.8793582552596977,0.13
15,0.09635260211009729,0.8397398855064759,0.8794198923405654,0.15000000000000002
16,0.09522361092661556,0.8381393628714956,0.8800208538790271,0.14
17,0.09366309564364583,0.8388776520204846,0.8823913132807364,0.05
18,0.09478107761395604,0.8396937740041874,0.8830975714990138,0.060000000000000005
19,0.07766486802383472,0.838904968907801,0.8831437993096647,0.07
