epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.5730098426342011,0.6464646464646464,0.6848,0.24000000000000005
2,0.46462621927261355,0.7397657892102892,0.7933999999999999,0.1
3,0.4353585708141327,0.7931330255556397,0.8569,0.1
4,0.39447600960731505,0.804172629359042,0.8831000000000001,0.16000000000000003
5,0.39128452658653257,0.8299829982998299,0.8991,0.5700000000000002
6,0.3634948027133942,0.8599439775910365,0.911,0.7400000000000002
7,0.3639263904094696,0.8349628666449951,0.8995,0.29000000000000004
8,0.34507629096508025,0.8349958748968724,0.911,0.8500000000000002
9,0.33858590841293335,0.8398558702832549,0.9267,0.9000000000000002
10,0.3156654077768326,0.849624060150376,0.9130999999999999,0.16000000000000003
11,0.32993227541446685,0.8749218261413383,0.9372,0.7900000000000001
12,0.31908102095127105,0.8449961249031226,0.9299999999999999,0.8000000000000002
13,0.30219256579875947,0.849624060150376,0.9228000000000001,0.7000000000000002
14,0.31217935025691984,0.8346651970239736,0.9063,0.1
15,0.309024463891983,0.83998399839984,0.9189,0.4600000000000001
16,0.3088038784265518,0.8449961249031226,0.9271999999999999,0.34
17,0.2447216796875,0.8699869986998701,0.9395,0.8400000000000002
18,0.26132125318050387,0.8497596153846154,0.9362,0.9000000000000002
19,0.24535027742385865,0.864726070292342,0.9314000000000001,0.4000000000000001
20,0.26038230240345,0.8696741854636592,0.9341,0.4600000000000001
21,0.21679716885089875,0.8698828946051447,0.9296,0.6900000000000002
22,0.25879951894283293,0.8696741854636592,0.9369,0.8200000000000002
23,0.24208634972572327,0.859873886497848,0.9303000000000001,0.45000000000000007
