experiment,bucket,n,macro_f1,roc_auc
E_full_qgf,"(-0.001, 0.536]",100,0.90625,0.9612499999999999
E_full_qgf,"(0.536, 0.841]",100,0.9095568284594513,0.9531812725090036
E_full_qgf,"(0.841, 1.0]",200,0.9004314636574842,0.9516539440203563
