epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.5785669794208125,0.8381073478981236,0.8763174926035503,0.33
2,0.3921413311832829,0.8437490971078558,0.8754648463182118,0.29000000000000004
3,0.3035220774380784,0.8437330439500814,0.8762507190992768,0.23000000000000004
4,0.2712553253299312,0.8429228998849252,0.8705210387902695,0.15000000000000002
5,0.2554134008915801,0.8413424866514111,0.8730635683760684,0.17000000000000004
6,0.2558743879199028,0.8405324830179859,0.870544152695595,0.15000000000000002
7,0.23347882573541842,0.8413424866514111,0.8702385355029586,0.09000000000000001
8,0.226583767486246,0.8397435897435898,0.8741113987508218,0.1
9,0.23738274566437068,0.8405365786944202,0.8792876294378698,0.17000000000000004
10,0.24013829623398028,0.8389397224617474,0.8773807322485206,0.19
11,0.23762134815517225,0.8405398550840956,0.8814487795857988,0.24000000000000005
12,0.21617501542756432,0.8397287717676067,0.8789011135765944,0.11000000000000001
13,0.23842644691467285,0.8389339312441129,0.8795405982905982,0.23000000000000004
14,0.21802277706171336,0.8397332997732123,0.8773088223208415,0.15000000000000002
15,0.23127509104578117,0.8389297944051014,0.8774911653517423,0.14
16,0.23033495874781357,0.8389248299177763,0.8791450936883629,0.1
17,0.22876271801559547,0.8396101292372228,0.881548939842209,0.05
