epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.49997659850476395,0.7291452522329225,0.7176558610095873,0.4600000000000001
2,0.4851353657779409,0.7149257967723623,0.7326063350813073,0.42000000000000004
3,0.4801391158530961,0.6983157977386935,0.7230123417553896,0.39000000000000007
4,0.476591473639901,0.7138583638583638,0.7327188940092166,0.4700000000000001
5,0.46127406785737224,0.699749301034778,0.738062132528206,0.4000000000000001
6,0.4632984257456082,0.7035184697727472,0.7349502092271837,0.5000000000000001
7,0.45910925696145244,0.7007127278392273,0.7373139467132793,0.43000000000000005
8,0.4576463459142998,0.6971425228861396,0.7279119656761481,0.38000000000000006
9,0.4648801163950963,0.7122873271183257,0.7370292388368028,0.37000000000000005
10,0.456901435531787,0.7083476266551667,0.7352415382170665,0.38000000000000006
11,0.4572416326003288,0.7113353058155891,0.7312821124000212,0.37000000000000005
12,0.4523031880606466,0.7139107611548556,0.7392142062609249,0.5100000000000001
13,0.4565785682913083,0.7218351254480286,0.739492293023995,0.5100000000000001
14,0.4576881576829882,0.715527100337227,0.735003178134435,0.4100000000000001
15,0.44819790747628285,0.7173453707260853,0.7385984427141268,0.5100000000000001
16,0.4530508749520601,0.7112760968014507,0.735354097144976,0.5000000000000001
17,0.45091621777904567,0.7056876578695236,0.7332088564012926,0.43000000000000005
18,0.4444998778514008,0.7127098789535338,0.7356983950421102,0.43000000000000005
19,0.4553073355511053,0.7119450317124736,0.7302227342549923,0.4000000000000001
20,0.4569476064461381,0.7098944166593548,0.734817786959055,0.4100000000000001
21,0.45198391044317787,0.7119450317124736,0.7334538375973303,0.38000000000000006
22,0.44408669489533154,0.7169877373994729,0.7376118968165688,0.44000000000000006
23,0.4418117008102474,0.7147575689264817,0.7341291911647864,0.4000000000000001
24,0.439903523939759,0.7139613740232935,0.7344867312887335,0.4000000000000001
25,0.44298953396170887,0.7119450317124736,0.7341954022988506,0.39000000000000007
