epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6272456622123719,0.9049405878674172,0.9571,0.44000000000000006
2,0.4617888057231903,0.9098896147781032,0.967475,0.39000000000000007
3,0.32758795499801635,0.9174994843717773,0.965175,0.44000000000000006
4,0.2833029127120972,0.9124950778481289,0.9649,0.43000000000000005
5,0.2475057762861252,0.9099977499437486,0.9640500000000001,0.4600000000000001
6,0.2237041985988617,0.90999099909991,0.963575,0.45000000000000007
7,0.2051236665248871,0.91,0.962975,0.14
8,0.20021443516016008,0.90999099909991,0.9635,0.32000000000000006
9,0.18448771119117738,0.9099797454427245,0.9640000000000001,0.35000000000000003
10,0.19260024905204773,0.9099797454427245,0.9635,0.17000000000000004
11,0.1884155610203743,0.9099797454427245,0.96135,0.25000000000000006
12,0.18538103342056275,0.912499453121582,0.9630749999999999,0.15000000000000002
13,0.17202743798494338,0.9149659863945578,0.96395,0.12000000000000001
14,0.17733476161956788,0.91,0.963325,0.14
15,0.18179121345281601,0.91,0.9626250000000001,0.15000000000000002
16,0.16976776480674743,0.9124863259884357,0.9632750000000001,0.1
17,0.16782691985368728,0.90999099909991,0.96335,0.21000000000000002
18,0.18136422604322433,0.90999099909991,0.9633750000000001,0.1
19,0.17309719443321228,0.90999099909991,0.9632750000000001,0.19
20,0.17665427446365356,0.91,0.963425,0.14
21,0.1752020788192749,0.91,0.9632749999999999,0.14
22,0.1763996821641922,0.91,0.9632000000000001,0.14
23,0.16411304146051406,0.91,0.962925,0.14
24,0.17505417108535767,0.91,0.9629000000000001,0.13
25,0.17727461993694305,0.91,0.9627,0.14
