experiment,bucket,n,macro_f1,roc_auc
E_full_qgf_fixed,"(-0.001, 0.695]",173,0.7867123287671233,0.8656490649064906
E_full_qgf_fixed,"(0.695, 1.0]",517,0.5708653247561735,0.5906277169187968
