epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.31605541750566285,0.9053640037922259,0.9119921606017268,0.4600000000000001
2,0.19916916961100564,0.901939224310276,0.9112638381270194,0.32000000000000006
3,0.17326652581122384,0.901939224310276,0.9134355633243286,0.19
4,0.18771388036991232,0.901939224310276,0.9185073361936544,0.18000000000000005
5,0.184478856178362,0.9175782628421636,0.9232612956194715,0.24000000000000005
6,0.15856495544091978,0.9175782628421636,0.9195071243180254,0.29000000000000004
7,0.15523244562878538,0.9175782628421636,0.926439430054558,0.43000000000000005
8,0.16495066047159593,0.9047250660584931,0.9206989247311828,0.11000000000000001
9,0.15001543855934002,0.9172813647815925,0.9245259282800996,0.09000000000000001
10,0.14854008559860402,0.9172813647815925,0.9271545103024524,0.13
11,0.136387016902219,0.9172813647815925,0.9273862492716776,0.11000000000000001
12,0.14343858054324762,0.9172813647815925,0.9277702738492504,0.09000000000000001
13,0.13507407925911805,0.9204444084015895,0.9275451559934319,0.05
14,0.11920582436358751,0.9112957511579074,0.926624821229938,0.07
15,0.13707190963314542,0.9172813647815925,0.9281542984268234,0.09000000000000001
16,0.1358399201017707,0.9172813647815925,0.9301075268817205,0.12000000000000001
17,0.1296359876643366,0.9138147757683885,0.9269360135600403,0.060000000000000005
18,0.13884674157224483,0.9112957511579074,0.9288031675406536,0.13
19,0.1249268258463091,0.9144323671497585,0.9277901371894698,0.07
20,0.13677511164056722,0.9144323671497585,0.9270419513745431,0.05
21,0.1328725547932867,0.9141281512605042,0.9284390063033,0.07
22,0.13383818395547012,0.9144323671497585,0.9283794162826421,0.12000000000000001
23,0.12247588796846902,0.9144323671497585,0.9281145717463848,0.07
24,0.13851210052397714,0.9144323671497585,0.9282800995815457,0.07
25,0.12504146970919708,0.9081681778063067,0.9263202500132423,0.05
