epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.4952179312705994,0.9849966242404541,0.996,0.5100000000000001
2,0.30086116909980776,0.9849996249906248,0.9953000000000001,0.35000000000000003
3,0.17422852843999861,0.9849996249906248,0.9938,0.35000000000000003
4,0.10750430285930633,0.9849996249906248,0.9937,0.43000000000000005
5,0.0694444790482521,0.9849996249906248,0.9936999999999999,0.4100000000000001
6,0.06308930993080139,0.9849996249906248,0.9963,0.30000000000000004
7,0.040644091367721555,0.9849996249906248,0.9964000000000001,0.27
8,0.026258415281772612,0.9849996249906248,0.996,0.32000000000000006
9,0.049970608353614804,0.99,0.9974999999999999,0.21000000000000002
10,0.02756390154361725,0.99,0.9971,0.2
11,0.0051637238264083864,0.99,0.9971,0.29000000000000004
12,0.02625020533800125,0.99,0.9976,0.25000000000000006
13,0.023151504695415496,0.99,0.9974999999999999,0.22000000000000003
14,0.0317790424823761,0.99,0.9984,0.12000000000000001
15,0.01143752783536911,0.99,0.9977,0.15000000000000002
16,-0.002835329473018646,0.99,0.9977,0.21000000000000002
17,0.010339500606060028,0.99,0.9975,0.19
18,0.000606810450553894,0.99,0.9982,0.22000000000000003
19,-0.005056751519441604,0.99,0.998,0.21000000000000002
20,-0.009576878100633622,0.99,0.998,0.17000000000000004
21,0.004410742372274398,0.99,0.998,0.19
