epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6166469883918763,0.9749993749843746,0.9982,0.4600000000000001
2,0.4346779012680054,0.9849996249906248,0.9965,0.36000000000000004
3,0.30864144682884215,0.9849996249906248,0.9944,0.45000000000000007
4,0.2390189576148987,0.9849996249906248,0.9937999999999999,0.4100000000000001
5,0.20855693101882936,0.9849996249906248,0.9943,0.4100000000000001
6,0.2034476399421692,0.9849996249906248,0.9972,0.22000000000000003
7,0.16563474655151367,0.99,0.9976,0.30000000000000004
8,0.16516015499830247,0.99,0.9976,0.16000000000000003
9,0.16713278442621232,0.99,0.9986999999999999,0.26000000000000006
10,0.1538155511021614,0.99,0.9979,0.2
11,0.16130587428808213,0.99,0.9971,0.27
12,0.15179148823022842,0.99,0.9969,0.13
13,0.15171815305948258,0.99,0.9971000000000001,0.12000000000000001
14,0.15272531181573867,0.99,0.9974000000000001,0.13
15,0.13971712440252304,0.99,0.9981,0.11000000000000001
16,0.12669391483068465,0.99,0.9982,0.16000000000000003
17,0.14557278513908387,0.99,0.9975999999999999,0.23000000000000004
18,0.15462459236383438,0.99,0.9976,0.21000000000000002
19,0.12701744824647904,0.99,0.9977,0.17000000000000004
