epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6044503116607666,0.9799919967987194,0.9953000000000001,0.5200000000000001
2,0.41625224590301513,0.9849996249906248,0.9949,0.34
3,0.29160411536693576,0.9849996249906248,0.9932000000000001,0.33
4,0.22994133532047273,0.9849996249906248,0.9933000000000001,0.4100000000000001
5,0.19611765205860138,0.9849996249906248,0.9932999999999998,0.38000000000000006
6,0.1910318773984909,0.9849996249906248,0.9965,0.27
7,0.17559408962726594,0.9849996249906248,0.9967,0.24000000000000005
8,0.159108529984951,0.9849996249906248,0.9968000000000001,0.26000000000000006
9,0.1809469437599182,0.99,0.9974000000000001,0.17000000000000004
10,0.15992702215909957,0.99,0.9973000000000001,0.18000000000000005
11,0.14168672174215316,0.99,0.997,0.26000000000000006
12,0.16149472206830978,0.99,0.9973000000000001,0.22000000000000003
13,0.16044358134269715,0.99,0.9974999999999999,0.21000000000000002
14,0.16615670442581176,0.99,0.9982,0.12000000000000001
15,0.1510568454861641,0.99,0.9979,0.14
16,0.13966036677360535,0.99,0.9976,0.2
17,0.1515142923593521,0.99,0.9977,0.17000000000000004
18,0.14229198336601256,0.99,0.998,0.2
19,0.1380312669277191,0.99,0.9982,0.19
20,0.1337897574901581,0.99,0.9978,0.17000000000000004
21,0.14831626713275908,0.99,0.9982,0.19
