epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.510899311126168,0.706079424742605,0.7121239207585148,0.4000000000000001
2,0.49026455897003857,0.7187527804415094,0.7239392976322898,0.4600000000000001
3,0.48440673057712724,0.7189880751219042,0.735923512897929,0.4600000000000001
4,0.4747449644465945,0.7227896782730957,0.7409158324063775,0.37000000000000005
5,0.4837938387002518,0.72450453341892,0.746325282059431,0.44000000000000006
6,0.46887944082715616,0.7119450317124736,0.7339173155357804,0.36000000000000004
7,0.47351636370616174,0.7141608391608392,0.7411343291487896,0.49000000000000005
8,0.4631316341570954,0.7198110951697752,0.7470800889877642,0.5200000000000001
9,0.4653309534734754,0.7179451175479419,0.7361817363207797,0.4000000000000001
10,0.45343503178055605,0.7122873271183257,0.7242968377562371,0.36000000000000004
11,0.45068978951938116,0.7324771076261914,0.7358639228772711,0.45000000000000007
12,0.45103381507432283,0.7183462532299741,0.7264619418401398,0.4000000000000001
13,0.4420953366293836,0.7149257967723623,0.7379363313734838,0.37000000000000005
14,0.451152483029152,0.6939839572192513,0.721741087981355,0.42000000000000004
15,0.44474603302443205,0.6986467478294611,0.7246278934265585,0.42000000000000004
16,0.4465151687166584,0.707003362461823,0.7300042375125801,0.4000000000000001
17,0.43853943917288707,0.7325517993456925,0.7371417977647121,0.45000000000000007
18,0.44329279839102903,0.7159440890784174,0.7291633561099634,0.42000000000000004
19,0.4399156032213524,0.696831541218638,0.731017267863764,0.45000000000000007
20,0.43428429471912666,0.7132950741272119,0.7307524233275067,0.42000000000000004
21,0.43422303893672887,0.731063949289898,0.7344867312887335,0.4600000000000001
22,0.43433639629563286,0.7106279112736185,0.7254886381693946,0.43000000000000005
23,0.42716433886271804,0.707003362461823,0.728633667037449,0.43000000000000005
24,0.4271088531657831,0.6991028295376122,0.7224892737962816,0.45000000000000007
25,0.4321719875086599,0.7113353058155891,0.7251046135918217,0.43000000000000005
26,0.42658225947351597,0.7283123991984751,0.7342020234122569,0.4100000000000001
27,0.43267059370652955,0.7283123991984751,0.7332750675353569,0.44000000000000006
28,0.419110663791201,0.7297073896511821,0.7361817363207798,0.44000000000000006
29,0.42315915049012026,0.7261839850443994,0.733122781927009,0.42000000000000004
