experiment,streams,fusion,params,best_val_f1,test_accuracy,test_macro_f1,test_binary_f1,test_roc_auc,test_threshold,test_macro_f1_thr050,test_accuracy_thr050,test_cal_macro_f1,test_cal_accuracy,test_cal_roc_auc,test_cal_threshold,test_cal_temp
A_skeleton_only,"('skeleton',)",qgf,71715,0.7746,0.775,0.7746394230769231,0.7836538461538461,0.8208500000000001,0.5900000000000002,0.7505904581955598,0.7525,0.7769968491408741,0.7775,0.8208500000000001,0.5700000000000002,1.1469362431812429
B_skel_interaction,"('skeleton', 'interaction')",qgf,477522,0.82,0.82,0.8199954998874972,0.8208955223880597,0.8873500000000001,0.4800000000000001,0.8099572403790853,0.81,0.8199954998874972,0.82,0.8873500000000001,0.4700000000000001,0.5958950039929544
C_videomae_only,"('vit',)",none,86000000,see_phase2_log,0.9075,0.9074994218713867,,0.970925,0.38,,,,,,,
D_skel_int_obj,"('skeleton', 'interaction', 'object')",qgf,568023,0.8425,0.8425,0.8424753867791843,0.8444444444444444,0.895275,0.5600000000000002,0.8193496587715776,0.82,0.8424753867791843,0.8425,0.895275,0.5900000000000002,0.6231478859949915
E_full_qgf,"('skeleton', 'interaction', 'object', 'vit')",qgf,798618,0.9175,0.9175,0.9174871073605251,0.9164556962025316,0.9616750000000001,0.36000000000000004,0.9074299939329118,0.9075,0.9174871073605251,0.9175,0.9616750000000001,0.35000000000000003,0.9097555986381349
E_full_lw,"('skeleton', 'interaction', 'object', 'vit')",lw,798322,0.915,0.915,0.9149659863945578,0.9166666666666666,0.9641249999999999,0.12000000000000001,0.9049619847939175,0.905,0.9149808706959066,0.915,0.9641249999999999,0.18000000000000005,1.301289668963874
E_full_qgf_fixed,"('skeleton', 'interaction', 'object', 'vit')",qgf,798618,0.9175,0.9175,0.9174871073605251,0.9164556962025316,0.96235,0.35000000000000003,0.9074299939329118,0.9075,0.9174871073605251,0.9175,0.96235,0.32000000000000006,0.9022601990221062
