epoch,train_loss,val_macro_f1,val_roc_auc,val_threshold
1,0.6095757937431335,0.9174953591139501,0.95605,0.45000000000000007
2,0.435621680021286,0.9149808706959066,0.9615,0.32000000000000006
3,0.31853594303131105,0.9199979999499988,0.9646,0.39000000000000007
4,0.26514646530151365,0.9174953591139501,0.9632750000000001,0.42000000000000004
5,0.23655251204967498,0.9174871073605251,0.9616750000000001,0.36000000000000004
6,0.20727952420711518,0.9149914991499151,0.9581500000000001,0.25000000000000006
7,0.2013449639081955,0.912499453121582,0.9590500000000001,0.27
8,0.1989399629831314,0.9149914991499151,0.9533,0.21000000000000002
9,0.19669092535972596,0.9149978749468737,0.9568749999999998,0.17000000000000004
10,0.19403108596801757,0.9124863259884357,0.953325,0.24000000000000005
11,0.1892940765619278,0.9124863259884357,0.9536,0.4600000000000001
12,0.18927963197231293,0.9124863259884357,0.9532,0.39000000000000007
13,0.17801373839378357,0.9124863259884357,0.953975,0.26000000000000006
14,0.198757107257843,0.9124863259884357,0.955025,0.23000000000000004
15,0.17860036760568618,0.9124863259884357,0.95355,0.29000000000000004
16,0.16488297313451766,0.9124863259884357,0.9527750000000001,0.24000000000000005
17,0.17231687545776367,0.9124863259884357,0.9523750000000001,0.25000000000000006
